delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.4,1000,exp,0,0,0,4,0.0330088,,0.0254811,0.0330088,1.0151412,1.0151412,1.0482024,1.1567739,space,None,None,1.1576323,1.565289067,1.8785798,1.8616391,1.8617001,1.8785798,1.8785798,1.8785798,4.2330975,200,1,[2.3683138000778854],[2.368328199721873],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.4,1000,exp,0,1,1,10,4.248458,,4.2345554,4.248458,5.2481769,5.2481769,5.2481769,5.4006066,space,0.1430604,None,5.4013195,5.815068067,6.1253525,6.1111296,6.1111707,6.1253525,6.1253525,6.1253525,7.6507011,300,1,[1.5367342997342348],[1.5367548996582627],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.7,1000,exp,0,2,2,11,7.6653212,,7.6519087,7.6653212,8.6654617,8.6654617,8.6654617,9.333423,space,0.6606157,None,9.334025,10.04827107,10.3566331,10.3413941,10.3414522,10.3566331,10.3566331,10.3566331,11.4004351,400,1,[1.0565146002918482],[1.056529300287366],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.7,1000,exp,0,3,3,8,11.4149587,,11.4014798,11.4149587,12.4152854,12.4152854,12.4152854,12.8656943,space,0.4378299,None,12.8661416,13.58117157,,13.8413719,13.841413,13.8654485,13.8654485,13.8654485,14.7339866,500,1,[0.8784213000908494],[0.8784357002004981],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.7,400,unexp,0,4,4,2,14.7487392,,14.7352319,14.7487392,15.7482473,15.7482473,15.7482473,16.5336391,space,0.7813414,None,16.5342548,17.24852607,17.5568605,17.5415004,17.541564,17.5568605,17.5568605,17.5568605,18.8973826,200,1,[1.3528483002446592],[1.352860700339079],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.7,1000,exp,0,5,5,5,18.9146577,,18.8983722,18.9146577,19.8983886,19.8983886,19.9150706,20.3335408,space,0.4299875,None,20.3341981,21.04836947,21.3565122,21.3412757,21.3413251,21.3565122,21.3565122,21.3565122,23.8668136,300,1,[2.522975299973041],[2.5229901000857353],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.4,1000,exp,0,6,6,7,23.881355,,23.8677077,23.881355,24.8815698,24.8815698,24.8815698,25.4658242,space,0.5715604,None,25.4664028,25.88157337,26.1969048,26.1813782,26.1814321,26.1969048,26.1969048,26.1969048,28.7665797,300,1,[2.5825668000616133],[2.5825793999247253],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.1,1000,exp,0,7,7,6,28.7812736,,28.7675819,28.7812736,29.781539,29.781539,29.781539,30.1691519,space,0.3847033,None,30.1701004,30.28155647,30.594071,30.580857,30.5808946,30.594071,30.594071,30.594071,32.4836174,400,1,[1.9001402999274433],[1.9001524997875094],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.1,400,unexp,0,8,8,0,32.497747,,32.4848774,32.497747,33.4975424,33.4975424,33.4975424,33.8499306,space,0.3381092,None,33.8505031,33.96428347,34.2699143,34.2553078,34.2553553,34.2699143,34.2699143,34.2699143,39.2996409,500,1,[5.042105999775231],[5.042119199875742],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.4,400,unexp,0,9,9,1,39.314568,,39.3005818,39.314568,40.3146063,40.3146063,40.3146063,40.8666387,space,0.5397753,None,40.8673343,41.28117687,41.5963063,41.5809225,41.5809708,41.5963063,41.5963063,41.5963063,42.8501879,250,1,[1.2659338000230491],[1.2659513000398874],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.1,1000,exp,0,10,10,3,42.864575,,42.8513248,42.864575,43.8645955,43.8645955,43.8645955,44.2997813,space,0.430005,None,44.3004146,44.41408697,44.7259159,44.7114789,44.7115772,44.7259159,44.7259159,44.7259159,47.8341548,300,1,[3.1197492997162044],[3.1197701999917626],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.1,1000,exp,0,11,11,9,47.8475735,,47.835443,47.8475735,48.8473902,48.8473902,48.8473902,49.2495771,space,0.3923227,None,49.2501363,49.36442497,49.6748254,49.6615455,49.6615969,49.6748254,49.6748254,49.6748254,51.0835002,500,1,[1.419343200046569],[1.4193605999462306],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.1,1000,exp,1,0,12,9,51.097405,,51.0844086,51.097405,52.0975013,52.0975013,52.0975013,52.5501803,space,0.4494602,None,52.5509983,52.66410237,52.9765495,52.9617792,52.9618539,52.9765495,52.9765495,52.9765495,54.7830505,250,1,[1.8185121999122202],[1.8185363998636603],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.4,1000,exp,1,1,13,4,54.797702,,54.7840001,54.797702,55.7975262,55.7975262,55.7975262,55.9337847,space,0.1279123,None,55.9346107,56.34758337,56.6575253,56.6413991,56.6414573,56.6575253,56.6575253,56.6575253,58.1493349,100,1,[1.5051246001385152],[1.5051424000412226],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.7,1000,exp,1,2,14,5,58.164389,,58.1502777,58.164389,59.1621927,59.1621927,59.1786686,61.1828688,space,2.0081566,None,61.183605,61.89724247,62.2072539,62.1912838,62.191349,62.2072539,62.2072539,62.2072539,63.6503153,200,1,[1.456067900173366],[1.4560869000852108],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.1,1000,exp,1,3,15,3,63.6644173,,63.6512319,63.6644173,64.6646091,64.6646091,64.6646091,64.8493802,space,0.1776751,None,64.8501134,64.96417957,65.2760771,65.2613618,65.2614097,65.2760771,65.2760771,65.2760771,66.7496436,150,1,[1.4856567000970244],[1.4856751002371311],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.7,1000,exp,1,4,16,11,66.7642569,,66.7510234,66.7642569,67.7640528,67.7640528,67.7640528,67.949693,space,0.1790648,None,67.9505193,68.66420407,68.9757642,68.9613625,68.9614211,68.9757642,68.9757642,68.9757642,70.1829313,450,1,[1.2188058998435736],[1.2188265998847783],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.1,400,unexp,1,5,17,0,70.1970124,,70.1839074,70.1970124,71.195003,71.195003,71.2119363,71.6495544,space,0.4434274,None,71.6502071,71.76381277,72.0774583,72.0618999,72.0619704,72.0774583,72.0774583,72.0774583,73.7488539,500,1,[1.6843802998773754],[1.6843912000767887],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.4,1000,exp,1,6,18,10,73.7638313,,73.7494305,73.7638313,74.764011,74.764011,74.764011,74.9326693,space,0.1571192,None,74.933309,75.34758177,75.6553966,75.6411364,75.6411768,75.6553966,75.6553966,75.6553966,76.616664,200,1,[0.972896299790591],[0.9729094998911023],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
0.4,1000,exp,1,7,19,7,76.6307643,,76.6177897,76.6307643,77.630763,77.630763,77.630763,77.9995955,space,0.3665398,None,78.0001452,78.41383537,78.7253086,78.7114291,78.7114749,78.7253086,78.7253086,78.7253086,80.3494552,400,1,[1.6355439000763],[1.6355586000718176],2,1,2024-11-08_11h35.28.708,intentional_binding,2024.1.5,None,2024-11-08 11h35.40.624288 +0530
,,,,,,,80.3637294,,80.3503913,80.3637294,81.3639007,81.3639007,81.3639007,81.5489332,space,0.1806174,None,81.5497101,81.66370157,81.9772749,81.9617942,81.9618513,81.9772749,81.9772749,81.9772749,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Exp,Delay,Average of all the responses after sorting the data,Participant name,Social exclusion,IV are condition and delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,exp,S,,,,DV is perception of level,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,exp,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,exp,L,,,,2(exp/unexp)x3delay(s/m/l)x2(I/E),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,unexp,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,unexp,M,,,,exp and delay as repeated measure factor and social inclusion as between subject factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,unexp,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"In long format the factor is the head of the column with each cell having levels, eg delay is the factor and SLM is the level.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,In wide format there are combinations ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
