study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
book,,0,0,0,2,,,,,0.0625106,,0.0167281,0.0625106,0.0625106,2.0354337,1.037037037,1.9913252,,,,,,,,,,,,,,,2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
tiger,,0,1,1,1,,,,,2.0638643,,2.0360402,2.0638643,2.0638643,2.70148,1.037037037,0.6378536,,,,,,,,,,,,,,,2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
piano,,0,2,2,3,,,,,2.7295141,,2.7019154,2.7295141,2.7295141,4.048205,1.02962963,1.3162259,,,,,,,,,,,,,,,2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
vase,,0,3,3,0,,,,,4.0813179,,4.0487927,4.0813179,4.0813179,5.5342551,1,1.4539851,,,,,,,,,,,,,,,2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
cushion,,0,4,4,4,,,,,5.5612933,,5.5346659,5.5612933,5.5612933,6.7842898,1.995061728,1.223938,,,,,,,,,,,,,,,2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
,c_c_n_t,,,,,0,0,0,4,6.8066853,,,,,,,,6.790918,6.8066853,6.8066853,6.8066853,0.0116716,13.7492577,coconut,[-0.06481481481481481],[-0.2962962962962963],[1],[0],[0],[6.952019799966365],['text_3'],2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
,f_b_i_,,,,,0,1,1,7,13.7696121,,,,,,,,13.7513552,13.7696121,13.7696121,13.7696121,0.0070594,18.498324,,[-0.05],[-0.29876543209876544],[1],[0],[0],[4.739377699792385],['text_3'],2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
,p_r_m_d,,,,,0,2,2,5,18.5168952,,,,,,,,18.4992058,18.5168952,18.5168952,18.5168952,0.0063853,21.398916,,[-0.05],[-0.29876543209876544],[1],[0],[0],[2.8926511998288333],['text_3'],2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
,t_b_e_,,,,,0,3,3,8,21.4173472,,,,,,,,21.4003652,21.4173472,21.4173472,21.4173472,0.0054706,28.8820322,table,[-0.05246913580246913],[-0.30617283950617286],[1],[0],[0],[7.475665099918842],['text_3'],2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
,_a_e,,,,,0,4,4,0,28.8983924,,,,,,,,28.8831229,28.8983924,28.8983924,28.8983924,0.004552,33.1980876,vase,[-0.05246913580246913],[-0.29691358024691356],[1],[0],[0],[4.309663299936801],['text_3'],2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
,c_s_ i _n,,,,,0,5,5,3,33.2158502,,,,,,,,33.1996626,33.2158502,33.2158502,33.2158502,0.0053093,35.7993752,cushion,[-0.05246913580246913],[-0.29691358024691356],[1],[0],[0],[2.5935644996352494],['text_3'],2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
,_a_d_l,,,,,0,6,6,9,35.8170482,,,,,,,,35.8004212,35.8170482,35.8170482,35.8170482,0.0046337,44.0152376,,[-0.03333333333333333],[-0.2962962962962963],[1],[0],[0],[8.209507000166923],['text_3'],2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
,_oo_,,,,,0,7,7,2,44.0312998,,,,,,,,44.0163574,44.0312998,44.0312998,44.0312998,0.0039448,46.0657277,book,[-0.03333333333333333],[-0.2962962962962963],[1],[0],[0],[2.044743100181222],['text_3'],2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
,p_a_o,,,,,0,8,8,6,46.0839955,,,,,,,,46.0669574,46.0839955,46.0839955,46.0839955,0.0052668,48.4318295,paino,[-0.03333333333333333],[-0.2962962962962963],[1],[0],[0],[2.3588980003260076],['text_3'],2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
,t_g_r,,,,,0,9,9,1,48.4497635,,,,,,,,48.4329746,48.4497635,48.4497635,48.4497635,0.0047318,52.7673303,tiger,[-0.03827160493827161],[-0.291358024691358],[1],[0],[0],[4.328798700124025],['text_3'],2,1,2024-11-07_11h57.49.987,priming_exp,2024.1.5,None,2024-11-07 11h58.01.859246 +0530
