key_resp.keys,key_resp.corr,tilt,Hit,Miss,FA,CR,,,,,,
down,1,-2,,,,1,,,,,,
up,1,0,1,,,,,,,,,
down,1,-4,,,,1,,,,,,
down,1,-4,,,,1,,,,,,
up,0,1,,,1,,,,,,,
up,1,0,1,,,,,Respond YES,Respond NO,,prop hit= hit/hit+miss,0.760869565
up,1,0,1,,,,Signal Present,Hit,Miss,,prop FA= FA/FA+CR,0.240740741
down,0,0,,1,,,Signal Absent,False Alarm,Correct Rejection,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,d-prime=z(prop hit)-z(prop FA),1.413024292
down,0,0,,1,,,,Respond YES,Respond NO,,c= -z(prop hit)+z(prop FA)/2,-0.002590357
up,0,-2,,,1,,Signal Present,35,11,,,
up,1,0,1,,,,Signal Absent,13,41,,,
down,1,-3,,,,1,,,,,,
up,1,0,1,,,,,,,,,
down,0,0,,1,,,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,4,,,,1,,,,,,
down,0,0,,1,,,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
up,0,3,,,1,,,,,,,
down,1,-3,,,,1,,,,,,
down,1,4,,,,1,,,,,,
down,1,-4,,,,1,,,,,,
down,1,4,,,,1,,,,,,
up,0,3,,,1,,,,,,,
up,1,0,1,,,,,,,,,
down,1,-5,,,,1,,,,,,
down,0,0,,1,,,,,,,,
down,1,-2,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,1,,,,1,,,,,,
down,0,0,,1,,,,,,,,
down,0,0,,1,,,,,,,,
down,1,-5,,,,1,,,,,,
up,1,0,1,,,,,,,,,
down,1,-3,,,,1,,,,,,
down,1,-3,,,,1,,,,,,
up,0,2,,,1,,,,,,,
up,0,1,,,1,,,,,,,
down,1,4,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,-4,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,0,1,,,1,,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,0,0,,1,,,,,,,,
down,1,-4,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
up,0,1,,,1,,,,,,,
down,1,-2,,,,1,,,,,,
up,1,0,1,,,,,,,,,
down,1,-4,,,,1,,,,,,
down,1,-3,,,,1,,,,,,
up,1,0,1,,,,,,,,,
down,0,0,,1,,,,,,,,
down,1,-4,,,,1,,,,,,
down,1,4,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,2,,,,1,,,,,,
up,0,1,,,1,,,,,,,
up,1,0,1,,,,,,,,,
down,1,4,,,,1,,,,,,
down,1,-3,,,,1,,,,,,
up,0,-4,,,1,,,,,,,
down,1,2,,,,1,,,,,,
down,1,-5,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,1,0,1,,,,,,,,,
down,1,-3,,,,1,,,,,,
down,1,2,,,,1,,,,,,
down,1,4,,,,1,,,,,,
up,1,0,1,,,,,,,,,
down,1,-3,,,,1,,,,,,
down,1,-2,,,,1,,,,,,
down,1,-2,,,,1,,,,,,
up,0,3,,,1,,,,,,,
down,1,4,,,,1,,,,,,
down,1,-4,,,,1,,,,,,
down,0,0,,1,,,,,,,,
up,0,-3,,,1,,,,,,,
down,1,3,,,,1,,,,,,
up,1,0,1,,,,,,,,,
down,1,4,,,,1,,,,,,
up,1,0,1,,,,,,,,,
up,0,4,,,1,,,,,,,
down,0,0,,1,,,,,,,,
down,1,3,,,,1,,,,,,
down,1,-4,,,,1,,,,,,
down,1,-3,,,,1,,,,,,
up,1,0,1,,,,,,,,,
,,,35,11,13,41,,,,,,
